epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1086,1.69163,4.80724,1.79155,0.48339,0.67628,0.67327,0.34861,1.50543,5.54095,1.8079,0.00021671,0.00021671,0.00021671
2,93.5699,1.30779,2.09232,1.48121,0.42961,0.79487,0.47868,0.31069,1.31738,24.8248,1.88935,0.000442664,0.000442664,0.000442664
3,129.295,1.42563,1.47365,1.51441,0.21137,0.04167,0.02772,0.01003,3.62381,5.2583,3.97149,0.000660915,0.000660915,0.000660915
4,169.251,1.49726,1.39262,1.57126,0.1183,0.15705,0.04707,0.01494,3.04574,3.9269,5.11785,0.000871466,0.000871466,0.000871466
5,207.404,1.43065,1.23402,1.5025,0.57143,0.03846,0.01548,0.00348,3.60727,23.4085,6.53855,0.00107431,0.00107431,0.00107431
6,240.498,1.46146,1.17426,1.53895,0.15385,0.16099,0.10819,0.05755,2.72919,4.11852,4.32989,0.00126946,0.00126946,0.00126946
7,272.577,1.41883,1.15441,1.50497,0.38053,0.1504,0.1245,0.04895,2.93552,3.82074,4.43656,0.00145691,0.00145691,0.00145691
8,307.371,1.45157,1.01514,1.49997,0.18798,0.26029,0.21197,0.04963,2.67687,3.74468,3.81555,0.00147446,0.00147446,0.00147446
9,342.07,1.31327,0.94049,1.4349,0.21839,0.36859,0.23839,0.12123,2.83226,5.35931,4.02963,0.00144696,0.00144696,0.00144696
10,377.508,1.46516,1.00882,1.5083,0.14894,0.27244,0.1188,0.04493,3.1639,3.84552,3.74162,0.00141945,0.00141945,0.00141945
11,414.462,1.42523,1.02675,1.48573,0.17076,0.35038,0.13379,0.03757,2.94257,5.18313,3.44283,0.00139195,0.00139195,0.00139195
12,450.643,1.47937,0.993,1.52158,0.2759,0.80128,0.30539,0.11636,1.86879,78.0735,2.44518,0.00136444,0.00136444,0.00136444
13,486.618,1.36565,0.93023,1.45031,0.30483,0.84759,0.32544,0.12301,1.95154,27.6481,2.55041,0.00133693,0.00133693,0.00133693
14,524.964,1.38453,0.9293,1.43817,0.39493,0.42949,0.38515,0.18527,1.82413,2.77436,2.19124,0.00130943,0.00130943,0.00130943
15,561.953,1.31341,0.93754,1.41345,0.48321,0.64514,0.56401,0.26943,1.76128,2.41468,2.1545,0.00128192,0.00128192,0.00128192
16,595.586,1.32523,0.8753,1.42999,0.72614,0.84926,0.91105,0.47073,1.68646,1.66807,1.9462,0.00125442,0.00125442,0.00125442
17,628.041,1.35245,0.78868,1.4298,0.70482,0.84295,0.8808,0.53559,1.52746,1.19288,1.75631,0.00122691,0.00122691,0.00122691
18,661.143,1.37829,0.81975,1.43258,0.80505,0.96347,0.93775,0.5221,1.57742,1.12437,1.85629,0.00119941,0.00119941,0.00119941
19,698.168,1.28625,0.78951,1.40587,0.78396,0.95966,0.9069,0.52631,1.47643,0.94786,1.84021,0.0011719,0.0011719,0.0011719
20,731.932,1.22028,0.77571,1.33403,0.86263,0.9735,0.98679,0.60442,1.37583,0.83829,1.65485,0.0011444,0.0011444,0.0011444
21,762.551,1.23656,0.7155,1.35048,0.76803,0.92308,0.94406,0.56115,1.47671,1.0852,1.80817,0.00111689,0.00111689,0.00111689
22,796.589,1.27611,0.78289,1.36399,0.72131,0.87821,0.91058,0.54371,1.44413,1.12086,1.85706,0.00108938,0.00108938,0.00108938
